Id,mean_exam_points
10000,47.95850298995786
10001,64.0429450427313
10002,62.16110529176511
10003,99.06136962872014
10004,95.72687128683803
10005,54.69064809149825
10006,51.9107673965907
10007,51.46931048371049
10008,62.27798945143361
10009,82.17928320953578
10010,51.86656204127335
10011,56.87975316809562
10012,68.92193768713285
10013,83.93232762162584
10014,62.69324078754936
10015,50.36718441992866
10016,79.66217395246042
10017,55.493625127909006
10018,60.08276316455472
10019,45.60397681580592
10020,77.99848741133036
10021,71.11726036913487
10022,72.89379720327386
10023,49.70687525688207
10024,55.16823101766555
10025,73.42807135945426
10026,48.550798146928436
10027,51.57390090139666
10028,54.69234795763734
10029,52.06718221653264
10030,67.79259832560604
10031,54.29888917743142
10032,54.56579022415855
10033,50.30500611401545
10034,55.01764567275766
10035,72.8462094164504
10036,57.3970620946607
10037,79.89570677267741
10038,48.20469110341656
10039,92.43638938644642
10040,97.49489555228563
10041,58.403574696342304
10042,59.91067699898446
10043,53.11420870600596
10044,56.644409073970735
10045,55.861137249847864
10046,58.990815802905196
10047,56.9488974606995
10048,64.12799297731767
10049,80.39521815598562
10050,54.996932739489225
10051,108.85770095213172
10052,53.49600853614379
10053,60.00763611277847
10054,60.74725882551148
10055,33.5463229248141
10056,83.86806197209067
10057,51.589695685488465
10058,62.722755474878596
10059,79.90761795188506
10060,56.583972690182605
10061,52.02565995487265
10062,50.21217660911638
10063,52.89797407413354
10064,61.70344741147228
10065,46.88278920665717
10066,56.566366632182934
10067,77.20421573385727
10068,45.970845482121646
10069,37.76854458955638
10070,64.30790021930855
10071,60.27838125828184
10072,51.47202363842602
10073,41.98985492844124
10074,68.84533332300344
10075,57.38092491143499
10076,76.37770676928967
10077,60.461164384176335
10078,60.26558579655713
10079,72.09406549324099
10080,55.68501721761804
10081,50.38026906702275
10082,87.9795477307863
10083,69.6938966319616
10084,53.161852177947466
10085,47.99214728618204
10086,78.19901119146654
10087,74.09033196489175
10088,59.62589317165585
10089,94.99849253912082
10090,43.738323590488584
10091,55.41728255226029
10092,59.60518023838742
10093,65.80299494761994
10094,65.60907672003192
10095,58.671735693189504
10096,85.07411702338051
10097,68.7891511904709
10098,70.06075611484982
10099,50.44061160556583
10100,80.31018268416682
10101,55.09899032993855
10102,53.02926962931029
10103,73.12636180861826
10104,54.67775623465042
10105,61.91686304845629
10106,54.319698505822984
10107,45.45693516607278
10108,63.24610431125353
10109,61.89624651031099
10110,47.814432575884695
10111,61.51363174943887
10112,59.67013803308113
10113,42.274541707758985
10114,51.789540436121406
10115,73.83840454639338
10116,57.34853434020213
10117,77.11926419439402
10118,64.6183713652097
10119,42.364591723877545
10120,63.22213095695574
10121,60.45440489538854
10122,88.41560839529362
10123,54.78060171249368
10124,62.028841521715734
10125,83.30143675078534
10126,50.43628920642461
10127,52.83734235022108
10128,51.982243139836974
10129,52.690252010952534
10130,65.67642475137356
10131,59.10858424509077
10132,62.57645302300399
10133,75.81187008826602
10134,83.25490059771333
10135,86.18965320220208
10136,74.97436192323593
10137,47.778499352843866
10138,80.16678315953618
10139,60.672035378612094
10140,60.421780782912485
10141,68.22383723605985
10142,75.14598104731165
10143,45.70208938812675
10144,56.594085058249945
10145,57.35563622812384
10146,59.80871580365826
10147,47.65795142187779
10148,53.3171178080819
10149,59.950370388446
10150,86.17486613909084
10151,59.23407736857381
10152,90.59600811295333
10153,60.78279832799909
10154,63.70393988714113
10155,69.88421487243893
10156,53.83923969575204
10157,50.99604418327468
10158,58.41637015806701
10159,56.139011326613286
10160,62.355895991990366
10161,72.90983799137645
10162,59.390452682407826
10163,53.4517067857033
10164,64.02223210946286
10165,79.30244340083422
10166,76.69020902268528
10167,62.4232816324496
10168,79.14548414763107
10169,52.91859061227885
10170,43.27643905328995
10171,43.78174040552427
10172,59.84733513807429
10173,65.28898823644795
10174,56.374451815861306
10175,48.69627255241343
10176,66.89484591414634
10177,57.88377801624419
10178,50.79542400801538
10179,47.669532664719085
10180,74.93974875925139
10181,52.23338201805366
10182,69.93122977759496
10183,64.20924123937544
10184,81.74123159652964
10185,62.6586132638069
10186,48.74669296325736
10187,95.95549907353374
10188,60.61587933797918
10189,56.08469360322859
10190,81.96445925843305
10191,65.63397615121052
10192,68.61997910992314
10193,79.28386912796194
10194,75.10506427825533
10195,64.08738269440285
10196,52.11570997099122
10197,54.98122188775298
10198,60.010809322112195
10199,60.00763611277847
10200,45.29764446222722
10201,50.3506579845704
10202,55.77497083861347
10203,78.73530057422471
10204,65.75734307706499
10205,55.872026347530614
10206,63.751119495836285
10207,69.97678525302678
10208,73.6186262193462
10209,54.80141104088524
10210,95.65782338935729
10211,77.38122004860418
10212,72.97907867910345
10213,78.73212736489099
10214,54.2632927859286
10215,59.26777855381321
10216,68.4313665089946
10217,56.60288681231074
10218,57.065781620368
10219,53.69023324987329
10220,52.343952177194396
10221,58.22775755713847
10222,59.988574356113716
10223,53.404878897383824
10224,79.72371700223027
10225,59.60109013560039
10226,49.43010529622032
10227,53.18845147526515
10228,52.346924456221146
10229,49.40929596782876
10230,69.40836442334697
10231,73.00849697130955
10232,59.68312628505209
10233,54.40366936764603
10234,87.54348706627898
10235,52.12441532992889
10236,48.717081880805
10237,55.13541411494323
10238,46.05199734905627
10239,76.32504022250865
10240,61.6014862161461
10241,93.26591439875556
10242,52.759396303556414
10243,48.59669667902702
10244,58.033755397194895
10245,72.24534233041969
10246,56.55927720702881
10247,85.53887744448278
10248,58.43708309133544
10249,76.73251917173923
10250,70.88154315728505
10251,52.600201994833974
